,title,context,question,answers
367,Heian_period,"A struggle for succession in the mid-twelfth century gave the Fujiwara an opportunity to regain their former power. Fujiwara no Yorinaga sided with the retired emperor in a violent battle in 1156 against the heir apparent, who was supported by the Taira and Minamoto (Hōgen Rebellion). In the end, the Fujiwara were destroyed, the old system of government supplanted, and the insei system left powerless as bushi took control of court affairs, marking a turning point in Japanese history. In 1159, the Taira and Minamoto clashed (Heiji Rebellion), and a twenty-year period of Taira ascendancy began.",Who defected the Fujiwara?,Taira and Minamoto
368,Saint_Barth%C3%A9lemy,"As the terrain is generally arid, the hills have mostly poor soil and support only cacti and succulent plants. During the rainy season the area turns green with vegetation and grass. The eastern part of the island is greener as it receives more rainfall. A 1994 survey has revealed several hundred indigenous species of plants including the naturalized varieties of flora; some growing in irrigated areas while the dry areas are dominated by the cacti variety. Sea grapes and palm trees are a common sight with mangroves and shrubs surviving in the saline coastal swamps. Coconut palm was brought to the island from the Pacific islands. Important plants noted on the island are:",Which plants survive?,cacti and succulent
369,Memory,"Another major way to distinguish different memory functions is whether the content to be remembered is in the past, retrospective memory, or in the future, prospective memory. Thus, retrospective memory as a category includes semantic, episodic and autobiographical memory. In contrast, prospective memory is memory for future intentions, or remembering to remember (Winograd, 1988). Prospective memory can be further broken down into event- and time-based prospective remembering. Time-based prospective memories are triggered by a time-cue, such as going to the doctor (action) at 4pm (cue). Event-based prospective memories are intentions triggered by cues, such as remembering to post a letter (action) after seeing a mailbox (cue). Cues do not need to be related to the action (as the mailbox/letter example), and lists, sticky-notes, knotted handkerchiefs, or string around the finger all exemplify cues that people use as strategies to enhance prospective memory.","If you wanted to relive a memory, which kind of memory storage would that use?",retrospective
370,Internet_service_provider,"Internet services typically provided by ISPs include Internet access, Internet transit, domain name registration, web hosting, Usenet service, and colocation.",What is internet transit?,services
371,Rajasthan,"Over the years, the Mughals began to have internal disputes which greatly distracted them at times. The Mughal Empire continued to weaken, and with the decline of the Mughal Empire in the 18th century, Rajputana came under the suzerainty of the Marathas. The Marathas, who were Hindus from the state of what is now Maharashtra, ruled Rajputana for most of the eighteenth century. The Maratha Empire, which had replaced the Mughal Empire as the overlord of the subcontinent, was finally replaced by the British Empire in 1818.",For how long have the Mughlas declined?,years
372,Green,"Many minerals provide pigments which have been used in green paints and dyes over the centuries. Pigments, in this case, are minerals which reflect the color green, rather that emitting it through luminescent or phosphorescent qualities. The large number of green pigments makes it impossible to mention them all. Among the more notable green minerals, however is the emerald, which is colored green by trace amounts of chromium and sometimes vanadium. Chromium(III) oxide (Cr2O3), is called chrome green, also called viridian or institutional green when used as a pigment. For many years, the source of amazonite's color was a mystery. Widely thought to have been due to copper because copper compounds often have blue and green colors, the blue-green color is likely to be derived from small quantities of lead and water in the feldspar. Copper is the source of the green color in malachite pigments, chemically known as basic copper(II) carbonate.",What do a lot of minerals do?,provide pigments which have been used in green paints and dyes
373,Orthodox_Judaism,"According to the New Jersey Press Association, several media entities refrain from using the term ""ultra-Orthodox"", including the Religion Newswriters Association; JTA, the global Jewish news service; and the Star-Ledger, New Jersey’s largest daily newspaper. The Star-Ledger was the first mainstream newspaper to drop the term. Several local Jewish papers, including New York's Jewish Week and Philadelphia's Jewish Exponent have also dropped use of the term. According to Rabbi Shammai Engelmayer, spiritual leader of Temple Israel Community Center in Cliffside Park and former executive editor of Jewish Week, this leaves ""Orthodox"" as ""an umbrella term that designates a very widely disparate group of people very loosely tied together by some core beliefs.""",What type of newspaper is the Star-Ledger?,mainstream
374,Madrasa,"However, all of these facets of medieval university life are considered by standard scholarship to be independent medieval European developments with no tracable Islamic influence. Generally, some reviewers have pointed out the strong inclination of Makdisi of overstating his case by simply resting on ""the accumulation of close parallels"", but all the while failing to point to convincing channels of transmission between the Muslim and Christian world. Norman Daniel points out that the Arab equivalent of the Latin disputation, the taliqa, was reserved for the ruler's court, not the madrasa, and that the actual differences between Islamic fiqh and medieval European civil law were profound. The taliqa only reached Islamic Spain, the only likely point of transmission, after the establishment of the first medieval universities. In fact, there is no Latin translation of the taliqa and, most importantly, no evidence of Latin scholars ever showing awareness of Arab influence on the Latin method of disputation, something they would have certainly found noteworthy. Rather, it was the medieval reception of the Greek Organon which set the scholastic sic et non in motion. Daniel concludes that resemblances in method had more to with the two religions having ""common problems: to reconcile the conflicting statements of their own authorities, and to safeguard the data of revelation from the impact of Greek philosophy""; thus Christian scholasticism and similar Arab concepts should be viewed in terms of a parallel occurrence, not of the transmission of ideas from one to the other, a view shared by Hugh Kennedy.",What did Norman try to make people realize?,the actual differences between Islamic fiqh and medieval European civil law were profound
375,Central_African_Republic,"Presently, the Central African Republic has active television services, radio stations, internet service providers, and mobile phone carriers; Socatel is the leading provider for both internet and mobile phone access throughout the country. The primary governmental regulating bodies of telecommunications are the Ministère des Postes and Télécommunications et des Nouvelles Technologies. In addition, the Central African Republic receives international support on telecommunication related operations from ITU Telecommunication Development Sector (ITU-D) within the International Telecommunication Union to improve infrastructure.",What indusrty is television part of?,telecommunications
376,Culture,"Scholars in the United Kingdom and the United States developed somewhat different versions of cultural studies after the late 1970s. The British version of cultural studies had originated in the 1950s and 1960s, mainly under the influence first of Richard Hoggart, E. P. Thompson, and Raymond Williams, and later that of Stuart Hall and others at the Centre for Contemporary Cultural Studies at the University of Birmingham. This included overtly political, left-wing views, and criticisms of popular culture as ""capitalist"" mass culture; it absorbed some of the ideas of the Frankfurt School critique of the ""culture industry"" (i.e. mass culture). This emerges in the writings of early British cultural-studies scholars and their influences: see the work of (for example) Raymond Williams, Stuart Hall, Paul Willis, and Paul Gilroy.",when did the united kingdom develop thier cultural studies,1950s and 1960s
377,The_Bronx,"In the Presidential primary elections of February 5, 2008, Sen. Clinton won 61.2% of the Bronx's 148,636 Democratic votes against 37.8% for Barack Obama and 1.0% for the other four candidates combined (John Edwards, Dennis Kucinich, Bill Richardson and Joe Biden). On the same day, John McCain won 54.4% of the borough's 5,643 Republican votes, Mitt Romney 20.8%, Mike Huckabee 8.2%, Ron Paul 7.4%, Rudy Giuliani 5.6%, and the other candidates (Fred Thompson, Duncan Hunter and Alan Keyes) 3.6% between them.","Which democratic candidate won a higher percent of the votes in the Presidential primary election, Sen. Clinton or Barack Obama?",Sen. Clinton
378,2008_Summer_Olympics_torch_relay,"Hong Kong: The event was held in Hong Kong on May 2. In the ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat, which had been never used before in the history of Olympic torch relays), Victoria Harbour (crossed by Tin Hau, a VIP vessel managed by the Marine Department) before ending in Golden Bauhinia Square in Wan Chai. A total of 120 torchbearers were selected to participate in the event consisting of celebrities, athletes and pro-Beijing camp politicians. No politicians from the pro-democracy camp were selected as torchbearers. One torchbearer could not participate due to flight delay. It was estimated that more than 200,000 spectators came out and watched the relay. Many enthusiastic supporters wore red shirts and waved large Chinese flags. According to Hong Kong Chief Secretary for Administration Henry Tang, 3,000 police were deployed to ensure order.",What was the last name of the person who touched the Olympic relay torch previous to Shan?,Tsang
379,Group_(mathematics),"Mathematicians often strive for a complete classification (or list) of a mathematical notion. In the context of finite groups, this aim leads to difficult mathematics. According to Lagrange's theorem, finite groups of order p, a prime number, are necessarily cyclic (abelian) groups Zp. Groups of order p2 can also be shown to be abelian, a statement which does not generalize to order p3, as the non-abelian group D4 of order 8 = 23 above shows. Computer algebra systems can be used to list small groups, but there is no classification of all finite groups.q[›] An intermediate step is the classification of finite simple groups.r[›] A nontrivial group is called simple if its only normal subgroups are the trivial group and the group itself.s[›] The Jordan–Hölder theorem exhibits finite simple groups as the building blocks for all finite groups. Listing all finite simple groups was a major achievement in contemporary group theory. 1998 Fields Medal winner Richard Borcherds succeeded in proving the monstrous moonshine conjectures, a surprising and deep relation between the largest finite simple sporadic group—the ""monster group""—and certain modular functions, a piece of classical complex analysis, and string theory, a theory supposed to unify the description of many physical phenomena.",What is not p2?,a prime number
380,Lighting,"Lighting fixtures come in a wide variety of styles for various functions. The most important functions are as a holder for the light source, to provide directed light and to avoid visual glare. Some are very plain and functional, while some are pieces of art in themselves. Nearly any material can be used, so long as it can tolerate the excess heat and is in keeping with safety codes.",What kind of objects could be pieces of art in themselves?,Lighting fixtures
381,Printed_circuit_board,"Semi-additive is the most common process: The unpatterned board has a thin layer of copper already on it. A reverse mask is then applied. (Unlike a subtractive process mask, this mask exposes those parts of the substrate that will eventually become the traces.) Additional copper is then plated onto the board in the unmasked areas; copper may be plated to any desired weight. Tin-lead or other surface platings are then applied. The mask is stripped away and a brief etching step removes the now-exposed bare original copper laminate from the board, isolating the individual traces. Some single-sided boards which have plated-through holes are made in this way. General Electric made consumer radio sets in the late 1960s using additive boards.","Other than copper, what metal is used in the process?",Tin
382,Dell,"In the shrinking PC industry, Dell continued to lose market share, as it dropped below Lenovo in 2011 to fall to number three in the world. Dell and fellow American contemporary Hewlett Packard came under pressure from Asian PC manufacturers Lenovo, Asus, and Acer, all of which had lower production costs and willing to accept lower profit margins. In addition, while the Asian PC vendors had been improving their quality and design, for instance Lenovo's ThinkPad series was winning corporate customers away from Dell's laptops, Dell's customer service and reputation had been slipping. Dell remained the second-most profitable PC vendor, as it took 13 percent of operating profits in the PC industry during Q4 2012, behind Apple Inc.'s Macintosh that took 45 percent, seven percent at Hewlett Packard, six percent at Lenovo and Asus, and one percent for Acer.",what was the first manufacturer mentioned?,Dell
383,Arsenal_F.C.,"Widely referred to as Highbury, Arsenal Stadium was the club's home from September 1913 until May 2006. The original stadium was designed by the renowned football architect Archibald Leitch, and had a design common to many football grounds in the UK at the time, with a single covered stand and three open-air banks of terracing. The entire stadium was given a massive overhaul in the 1930s: new Art Deco West and East stands were constructed, opening in 1932 and 1936 respectively, and a roof was added to the North Bank terrace, which was bombed during the Second World War and not restored until 1954.",What is the club called in the text?,Arsenal
384,Hunting,"When Internet hunting was introduced in 2005, allowing people to hunt over the Internet using remotely controlled guns, the practice was widely criticised by hunters as violating the principles of fair chase. As a representative of the National Rifle Association (NRA) explained, ""The NRA has always maintained that fair chase, being in the field with your firearm or bow, is an important element of hunting tradition. Sitting at your desk in front of your computer, clicking at a mouse, has nothing to do with hunting.""","Other than hunters, who else criticized Internet hunting?",National Rifle Association (NRA
385,Data_compression,"Latency results from the methods used to encode and decode the data. Some codecs will analyze a longer segment of the data to optimize efficiency, and then code it in a manner that requires a larger segment of data at one time to decode. (Often codecs create segments called a ""frame"" to create discrete data segments for encoding and decoding.) The inherent latency of the coding algorithm can be critical; for example, when there is a two-way transmission of data, such as with a telephone conversation, significant delays may seriously degrade the perceived quality.",Who encodes and decodes the data?,codecs
386,National_Archives_and_Records_Administration,"NARA also maintains the Presidential Library system, a nationwide network of libraries for preserving and making available the documents of U.S. presidents since Herbert Hoover. The Presidential Libraries include:","This acronym maintains this, a nationwide network of libraries dedicated to preserving and making available the documents of U.S. presidents?",Presidential Library system
387,Neolithic,"Not all of these cultural elements characteristic of the Neolithic appeared everywhere in the same order: the earliest farming societies in the Near East did not use pottery. In other parts of the world, such as Africa, South Asia and Southeast Asia, independent domestication events led to their own regionally distinctive Neolithic cultures that arose completely independent of those in Europe and Southwest Asia. Early Japanese societies and other East Asian cultures used pottery before developing agriculture.",What was a characteristic of the Neolithic period?,pottery
388,Comprehensive_school,"The percentage of students attending a Gesamtschule varies by Bundesland. In the State of Brandenburg more than 50% of all students attended a Gesamtschule in 2007, while in the State of Bavaria less than 1% did.",What kind of territory is Bavaria?,State
389,Web_browser,"Web browsers consist of a user interface, layout engine, rendering engine, JavaScript interpreter, UI backend, networking component and data persistence component. These components achieve different functionalities of a web browser and together provide all capabilities of a web browser.",What is the second component of the web browsers mentioned in the text?,layout engine
390,Mexico_City,"During the 20th century, many artists immigrated to Mexico City from different regions of Mexico, such as Leopoldo Méndez, an engraver from Veracruz, who supported the creation of the socialist Taller de la Gráfica Popular (Popular Graphics Workshop), designed to help blue-collar workers find a venue to express their art. Other painters came from abroad, such as Catalan painter Remedios Varo and other Spanish and Jewish exiles. It was in the second half of the 20th century that the artistic movement began to drift apart from the Revolutionary theme. José Luis Cuevas opted for a modernist style in contrast to the muralist movement associated with social politics.","If I was just an average Joe, where could I go to display my art?",Taller de la Gráfica Popular
391,51st_state,"Several days after the referendum, the Resident Commissioner Pedro Pierluisi, Governor Luis Fortuño, and Governor-elect Alejandro García Padilla wrote separate letters to the President of the United States Barack Obama addressing the results of the voting. Pierluisi urged Obama to begin legislation in favor of the statehood of Puerto Rico, in light of its win in the referendum. Fortuño urged him to move the process forward. García Padilla asked him to reject the results because of their ambiguity. The White House stance related to the November 2012 plebiscite was that the results were clear, the people of Puerto Rico want the issue of status resolved, and a majority chose statehood in the second question. Former White House director of Hispanic media stated, ""Now it is time for Congress to act and the administration will work with them on that effort, so that the people of Puerto Rico can determine their own future.""",How did the US feel about the results of voting?,the results were clear
392,Alaska,"Alaska has few road connections compared to the rest of the U.S. The state's road system covers a relatively small area of the state, linking the central population centers and the Alaska Highway, the principal route out of the state through Canada. The state capital, Juneau, is not accessible by road, only a car ferry, which has spurred several debates over the decades about moving the capital to a city on the road system, or building a road connection from Haines. The western part of Alaska has no road system connecting the communities with the rest of Alaska.",What provides information about where Alaska's population is located?,relatively small area of the state
393,Sanskrit,"Samskrita Bharati is an organisation working for Sanskrit revival. The ""All-India Sanskrit Festival"" (since 2002) holds composition contests. The 1991 Indian census reported 49,736 fluent speakers of Sanskrit. Sanskrit learning programmes also feature on the lists of most AIR broadcasting centres. The Mattur village in central Karnataka claims to have native speakers of Sanskrit among its population. Inhabitants of all castes learn Sanskrit starting in childhood and converse in the language. Even the local Muslims converse in Sanskrit. Historically, the village was given by king Krishnadevaraya of the Vijayanagara Empire to Vedic scholars and their families, while people in his kingdom spoke Kannada and Telugu. Another effort concentrates on preserving and passing along the oral tradition of the Vedas, www.shrivedabharathi.in is one such organisation based out of Hyderabad that has been digitising the Vedas by recording recitations of Vedic Pandits.",In what country are there native Sanskrit speakers?,India
394,United_Nations_Population_Fund,"The Sustainable Development Goals are ambitious, and they will require enormous efforts across countries, continents, industries and disciplines - but they are achievable. UNFPA is working with governments, partners and other UN agencies to directly tackle many of these goals - in particular Goal 3 on health, Goal 4 on education and Goal 5 on gender equality - and contributes in a variety of ways to achieving many of the rest.",what is the second word in the first paragraph?,Sustainable
395,Lancashire,"The major settlements in the ceremonial county are concentrated on the Fylde coast (the Blackpool Urban Area), and a belt of towns running west-east along the M65: Preston, Blackburn, Accrington, Burnley, Nelson and Colne. South of Preston are the towns of Leyland and Chorley; the three formed part of the Central Lancashire New Town designated in 1970. The north of the county is predominantly rural and sparsely populated, except for the towns of Lancaster and Morecambe which form a large conurbation of almost 100,000 people. Lancashire is home to a significant Asian population, numbering over 70,000 and 6% of the county's population, and concentrated largely in the former cotton mill towns in the south east.",Where are the major settlements mainly?,"on the Fylde coast (the Blackpool Urban Area), and a belt of towns running west-east along the M65"
396,Unicode,"Several subsets of Unicode are standardized: Microsoft Windows since Windows NT 4.0 supports WGL-4 with 652 characters, which is considered to support all contemporary European languages using the Latin, Greek, or Cyrillic script. Other standardized subsets of Unicode include the Multilingual European Subsets: MES-1 (Latin scripts only, 335 characters), MES-2 (Latin, Greek and Cyrillic 1062 characters) and MES-3A & MES-3B (two larger subsets, not shown here). Note that MES-2 includes every character in MES-1 and WGL-4.","What are WGL-4, MES-1, and MES-3B all examples of?",Unicode
397,Solar_energy,"A solar balloon is a black balloon that is filled with ordinary air. As sunlight shines on the balloon, the air inside is heated and expands causing an upward buoyancy force, much like an artificially heated hot air balloon. Some solar balloons are large enough for human flight, but usage is generally limited to the toy market as the surface-area to payload-weight ratio is relatively high.",What is the main point of the passage?,"Some solar balloons are large enough for human flight, but usage is generally limited"
398,Spectre_(2015_film),"In November 2014, Sony Pictures Entertainment was targeted by hackers who released details of confidential e-mails between Sony executives regarding several high-profile film projects. Included within these were several memos relating to the production of Spectre, claiming that the film was over budget, detailing early drafts of the script written by John Logan, and expressing Sony's frustration with the project. Eon Productions later issued a statement confirming the leak of what they called ""an early version of the screenplay"".",What did the hackers get a hold of?,confidential e-mails
399,Royal_assent,"If the Governor General of Canada is unable to give assent, it can be done by either the Deputy of the Governor General of Canada—the Chief Justice of Canada—or another justice of the Supreme Court of Canada. It is not actually necessary for the governor general to sign a bill passed by a legislature, the signature being merely an attestation. In each case, the parliament must be apprised of the granting of assent before the bill is considered to have become law. Two methods are available: the sovereign's representatives may grant assent in the presence of both houses of parliament; alternatively, each house may be notified separately, usually by the speaker of that house. However, though both houses must be notified on the same day, notice to the House of Commons while it is not in session may be given by way of publishing a special issue of the Journals of the House of Commons, whereas the Senate must be sitting and the governor general's letter read aloud by the speaker.",Official agreement or consent can also be referred to as?,assent
400,Paper,"All paper produced by paper machines as the Fourdrinier Machine are wove paper, i.e. the wire mesh that transports the web leaves a pattern that has the same density along the paper grain and across the grain. Textured finishes, watermarks and wire patterns imitating hand-made laid paper can be created by the use of appropriate rollers in the later stages of the machine.",What makes the wove paper special?,the same density along the paper grain and across the grain
401,Marvel_Comics,"Timely's first publication, Marvel Comics #1 (cover dated Oct. 1939), included the first appearance of Carl Burgos' android superhero the Human Torch, and the first appearances of Bill Everett's anti-hero Namor the Sub-Mariner, among other features. The issue was a great success, with it and a second printing the following month selling, combined, nearly 900,000 copies. While its contents came from an outside packager, Funnies, Inc., Timely had its own staff in place by the following year. The company's first true editor, writer-artist Joe Simon, teamed with artist and emerging industry notable Jack Kirby to create one of the first patriotically themed superheroes, Captain America, in Captain America Comics #1 (March 1941). It, too, proved a hit, with sales of nearly one million. Goodman formed Timely Comics, Inc., beginning with comics cover-dated April 1941 or Spring 1941.",Who has a contradictory name?,Human Torch
402,East_Prussia,"Representatives of the Polish government officially took over the civilian administration of the southern part of East Prussia on 23 May 1945. Subsequently Polish expatriates from Polish lands annexed by the Soviet Union as well as Ukrainians and Lemkos from southern Poland, expelled in Operation Vistula in 1947, were settled in the southern part of East Prussia, now the Polish Warmian-Masurian Voivodeship. In 1950 the Olsztyn Voivodeship counted 689,000 inhabitants, 22.6% of them coming from areas annexed by the Soviet Union, 10% Ukrainians, and 18.5% of them pre-war inhabitants. The remaining pre-war population was treated as Germanized Poles and a policy of re-Polonization was pursued throughout the country Most of these ""Autochthones"" chose to emigrate to West Germany from the 1950s through 1970s (between 1970 and 1988 55,227 persons from Warmia and Masuria moved to Western Germany). Local toponyms were Polonised by the Polish Commission for the Determination of Place Names.",Did a larger percentage of the population consist of people coming from areas annexed by the Soviet Union or Ukrainians?,coming from areas annexed by the Soviet Union
403,FA_Cup,"After being rendered obsolete by the redesign, the 1895 replica was presented in 1910 to the FA's long-serving president Lord Kinnaird. Kinnaird died in 1923, and his family kept it in their possession, out of view, until putting it up for auction in 2005. It was duly sold at Christie's auction house on 19 May 2005 for £420,000 (£478,400 including auction fees and taxes). The sale price set a new world record for a piece of football memorabilia, surpassing the £254,000 paid for the Jules Rimet World Cup Trophy in 1997. The successful bidder was David Gold, the then joint chairman of Birmingham City; claiming the FA and government were doing nothing proactive to ensure the trophy remained in the country, Gold stated his purchase was motivated by wanting to save it for the nation. Accordingly, Gold presented the trophy to the National Football Museum in Preston on 20 April 2006, where it went on immediate public display. It later moved with the museum to its new location in Manchester. In November 2012, it was ceremonially presented to Royal Engineers, after they beat Wanderers 7–1 in a charity replay of the first FA Cup final.","How many pounds sterling did the item sell for, sans applicable levies and costs?","£420,000"
404,Near_East,"A large percentage of experts on the modern Middle East began their training in university departments named for the Near East. Similarly the journals associated with these fields of expertise include the words Near East or Near Eastern. The meaning of Near East in these numerous establishments and publications is Middle East. Expertise on the modern Middle East is almost never mixed or confused with studies of the Ancient Near East, although often ""Ancient Near East"" is abbreviated to ""Near East"" without any implication of modern times. For example, ""Near Eastern Languages"" in the ancient sense includes such languages as Sumerian and Akkadian. In the modern sense, it is likely to mean any or all of the Arabic languages.","When people refer to Near East as a shorthand reference for studying the non-modern Arabic region, what word are they omitting?",Ancient
405,Uranium,"Uranium metal heated to 250 to 300 °C (482 to 572 °F) reacts with hydrogen to form uranium hydride. Even higher temperatures will reversibly remove the hydrogen. This property makes uranium hydrides convenient starting materials to create reactive uranium powder along with various uranium carbide, nitride, and halide compounds. Two crystal modifications of uranium hydride exist: an α form that is obtained at low temperatures and a β form that is created when the formation temperature is above 250 °C.",What is 250 degrees Celsius in Fahrenheit?,482
406,Literature,"Greek drama exemplifies the earliest form of drama of which we have substantial knowledge. Tragedy, as a dramatic genre, developed as a performance associated with religious and civic festivals, typically enacting or developing upon well-known historical or mythological themes. Tragedies generally presented very serious themes. With the advent of newer technologies, scripts written for non-stage media have been added to this form. War of the Worlds (radio) in 1938 saw the advent of literature written for radio broadcast, and many works of Drama have been adapted for film or television. Conversely, television, film, and radio literature have been adapted to printed or electronic media.",What is an opposite result of an idea posted here?,"television, film, and radio literature have been adapted to printed or electronic media"
407,Compact_disc,"CDs are susceptible to damage during handling and from environmental exposure. Pits are much closer to the label side of a disc, enabling defects and contaminants on the clear side to be out of focus during playback. Consequently, CDs are more likely to suffer damage on the label side of the disc. Scratches on the clear side can be repaired by refilling them with similar refractive plastic or by careful polishing. The edges of CDs are sometimes incompletely sealed, allowing gases and liquids to corrode the metal reflective layer and to interfere with the focus of the laser on the pits. The fungus Geotrichum candidum, found in Belize, has been found to consume the polycarbonate plastic and aluminium found in CDs.",How could water damage a CD specifically?,gases and liquids to corrode the metal reflective layer and to interfere with the focus of the laser on the pits
408,Mesozoic,"The climate of the Cretaceous is less certain and more widely disputed. Higher levels of carbon dioxide in the atmosphere are thought to have caused the world temperature gradient from north to south to become almost flat: temperatures were about the same across the planet. Average temperatures were also higher than today by about 10°C. In fact, by the middle Cretaceous, equatorial ocean waters (perhaps as warm as 20 °C in the deep ocean) may have been too warm for sea life,[dubious – discuss][citation needed] and land areas near the equator may have been deserts despite their proximity to water. The circulation of oxygen to the deep ocean may also have been disrupted.[dubious – discuss] For this reason, large volumes of organic matter that was unable to decompose accumulated, eventually being deposited as ""black shale"".",Why was the ocean not likely to be habitable?,too warm
409,Sichuan,"Sichuan came under the firm control of a Chinese central government during the Sui dynasty, but it was during the subsequent Tang dynasty where Sichuan regained its previous political and cultural prominence for which it was known during the Han. Chengdu became nationally known as a supplier of armies and the home of Du Fu, who is sometimes called China's greatest poet. During the An Lushan Rebellion (755-763), Emperor Xuanzong of Tang fled from Chang'an to Sichuan. The region was torn by constant warfare and economic distress as it was besieged by the Tibetan Empire.",Sichuan was most ascendant during which Chinese dynasty?,Tang
410,House_music,"In the late 1980s, many local Chicago house music artists suddenly found themselves presented with major label deals. House music proved to be a commercially successful genre and a more mainstream pop-based variation grew increasingly popular. Artists and groups such as Madonna, Janet Jackson, Paula Abdul, Aretha Franklin, Bananarama, Diana Ross, Tina Turner, Whitney Houston, Steps, Kylie Minogue, Bjork, and C+C Music Factoryhave all incorporated the genre into some of their work. After enjoying significant success in the early to mid-90s, house music grew even larger during the second wave of progressive house (1999–2001). The genre has remained popular and fused into other popular subgenres, for example, G-house, Deep House, Tech House and Bass House. As of 2015, house music remains extremely popular in both clubs and in the mainstream pop scene while retaining a foothold on underground scenes across the globe.[citation needed]",What kind of music artists were presented with major label deals?,house
411,Canon_law,"Currently, (2004), there are principles of canon law common to the churches within the Anglican Communion; their existence can be factually established; each province or church contributes through its own legal system to the principles of canon law common within the Communion; these principles have a strong persuasive authority and are fundamental to the self-understanding of each of the churches of the Communion; these principles have a living force, and contain in themselves the possibility of further development; and the existence of these principles both demonstrates unity and promotes unity within the Anglican Communion.",How can these principles be determined?,their existence can be factually established
412,Heresy,"In England, the 16th-century European Reformation resulted in a number of executions on charges of heresy. During the thirty-eight years of Henry VIII's reign, about sixty heretics, mainly Protestants, were executed and a rather greater number of Catholics lost their lives on grounds of political offences such as treason, notably Sir Thomas More and Cardinal John Fisher, for refusing to accept the king's supremacy over the Church in England. Under Edward VI, the heresy laws were repealed in 1547 only to be reintroduced in 1554 by Mary I; even so two radicals were executed in Edward's reign (one for denying the reality of the incarnation, the other for denying Christ's divinity). Under Mary, around two hundred and ninety people were burned at the stake between 1555 and 1558 after the restoration of papal jurisdiction. When Elizabeth I came to the throne, the concept of heresy was retained in theory but severely restricted by the 1559 Act of Supremacy and the one hundred and eighty or so Catholics who were executed in the forty-five years of her reign were put to death because they were considered members of ""...a subversive fifth column."" The last execution of a ""heretic"" in England occurred under James VI and I in 1612. Although the charge was technically one of ""blasphemy"" there was one later execution in Scotland (still at that date an entirely independent kingdom) when in 1697 Thomas Aikenhead was accused, among other things, of denying the doctrine of the Trinity.",Why were people being executed?,on charges of heresy
413,Carnival,"The term Carnival is traditionally used in areas with a large Catholic presence. However, the Philippines, a predominantly Roman Catholic country, does not celebrate Carnival anymore since the dissolution of the Manila Carnival after 1939, the last carnival in the country. In historically Lutheran countries, the celebration is known as Fastelavn, and in areas with a high concentration of Anglicans and Methodists, pre-Lenten celebrations, along with penitential observances, occur on Shrove Tuesday. In Eastern Orthodox nations, Maslenitsa is celebrated during the last week before Great Lent. In German-speaking Europe and the Netherlands, the Carnival season traditionally opens on 11/11 (often at 11:11 a.m.). This dates back to celebrations before the Advent season or with harvest celebrations of St. Martin's Day.",Where is the festival held?,in areas with a large Catholic presence
414,"Tucson,_Arizona","Catalina Highway stretches 25 miles (40 km) and the entire mountain range is one of Tucson's most popular vacation spots for cycling, hiking, rock climbing, camping, birding, and wintertime snowboarding and skiing. Near the top of Mt. Lemmon is the town of Summerhaven. In Summerhaven, visitors will find log houses and cabins, a general store, and various shops, as well as numerous hiking trails. Near Summerhaven is the road to Ski Valley which hosts a ski lift, several runs, a giftshop, and nearby restaurant.",What is a popular activity along Catalina Highway that involves trekking through the wilderness in search of feathered wildlife?,birding
415,Gregorian_calendar,"Prior to 1917, Turkey used the lunar Islamic calendar with the Hegira era for general purposes and the Julian calendar for fiscal purposes. The start of the fiscal year was eventually fixed at 1 March and the year number was roughly equivalent to the Hegira year (see Rumi calendar). As the solar year is longer than the lunar year this originally entailed the use of ""escape years"" every so often when the number of the fiscal year would jump. From 1 March 1917 the fiscal year became Gregorian, rather than Julian. On 1 January 1926 the use of the Gregorian calendar was extended to include use for general purposes and the number of the year became the same as in other countries.",What kind of time keeping system is used in Turkey?,the Gregorian calendar
416,Serbo-Croatian,"In the mid-19th century, Serbian (led by self-taught writer and folklorist Vuk Stefanović Karadžić) and most Croatian writers and linguists (represented by the Illyrian movement and led by Ljudevit Gaj and Đuro Daničić), proposed the use of the most widespread dialect, Shtokavian, as the base for their common standard language. Karadžić standardised the Serbian Cyrillic alphabet, and Gaj and Daničić standardized the Croatian Latin alphabet, on the basis of vernacular speech phonemes and the principle of phonological spelling. In 1850 Serbian and Croatian writers and linguists signed the Vienna Literary Agreement, declaring their intention to create a unified standard. Thus a complex bi-variant language appeared, which the Serbs officially called ""Serbo-Croatian"" or ""Serbian or Croatian"" and the Croats ""Croato-Serbian"", or ""Croatian or Serbian"". Yet, in practice, the variants of the conceived common literary language served as different literary variants, chiefly differing in lexical inventory and stylistic devices. The common phrase describing this situation was that Serbo-Croatian or ""Croatian or Serbian"" was a single language. During the Austro-Hungarian occupation of Bosnia and Herzegovina, the language of all three nations was called ""Bosnian"" until the death of administrator von Kállay in 1907, at which point the name was changed to ""Serbo-Croatian"".",Who accompanied Serbian in the advocacy for the use of Shtokavian?,most Croatian writers and linguists
